"","name_resultsfile","region","phenometric","indep.variable","Reanalysis_sign","Reanalysis_p","Reanalysis_coef","Fric_SR_sign","Fric_SR_p","Fric_SR_coef","Fric_RR_sign","Fric_RR_p","Fric_RR_coef"
"79","Limenitis populi","Europe","termination","latitude",0,0.454367583554256,0.881083069777971,1,0.000120521867362292,2.04184773161829,0,0.0693268673164931,1.0660496743117
"80","Limenitis populi","Europe","termination","year",0,0.612988316059505,-0.15504626359223,0,0.158078556070397,0.265273616362197,0,0.667777476735302,0.0632749638466542
"81","Lycaena hippothoe","Europe","termination","latitude",1,0.0204295186151514,1.35261669736293,0,0.546064547328682,-0.347824735860785,0,0.555519528221973,-0.3354677557328
"82","Lycaena hippothoe","Europe","termination","year",0,0.810787035170829,0.0185019958871896,0,0.393370005734821,0.143411433926899,0,0.505048636276821,0.111824998849607
"83","Lycaena virgaureae","Europe","termination","latitude",0,0.28318000849669,0.396668954575177,1,0.0467190532481024,0.917423616845585,0,0.344328699885491,0.399616116493861
"84","Lycaena virgaureae","Europe","termination","year",0,0.121815669037684,0.0924416573175649,1,0.00488344220419424,0.446892562773584,1,0.00971313703533897,0.392362996462532
"85","Maniola jurtina","Europe","termination","latitude",-1,1.24022947121648e-08,-3.70848872156557,0,0.301002794752065,1.32568450884491,0,0.617874040035436,0.630738739509104
"86","Maniola jurtina","Europe","termination","year",1,0.00333576380515242,0.216664139250187,0,0.528697855208497,0.292380334430394,0,0.363604498185044,0.411430677189138
"87","Thymelicus lineolus","Europe","termination","latitude",0,0.587930200340265,0.125257935169227,1,0.0154028157257395,1.44231350958921,0,0.242618695401655,0.692666675589016
"88","Thymelicus lineolus","Europe","termination","year",0,0.566768116134795,-0.033367655248894,0,0.179048541972547,0.288088542233143,0,0.254872235336453,0.223877156826714
